umap_n_components,umap_n_neighbors,umap_min_dist,k,silhouette_score
9,5,0.15,10,0.7422426
2,8,0.12,10,0.74223703
2,3,0.13,10,0.7421959
9,6,0.08,10,0.7421504
6,5,0.05,10,0.7419304
7,4,0.04,10,0.74190557
7,6,0.06,10,0.74176157
8,5,0.03,10,0.7416507
5,8,0.03,10,0.7416505
7,5,0.04,10,0.7416386
2,9,0.04,8,0.7415268
8,9,0.02,9,0.7415032
3,7,0.12,10,0.7414757
9,3,0.07,10,0.7414311
9,5,0.07,10,0.74139243
10,6,0.07,10,0.74128926
8,7,0.09,10,0.7412276
5,5,0.08,10,0.7411321
10,5,0.07,10,0.7411304
3,9,0.1,10,0.74110764
2,4,0.07,9,0.740977
6,3,0.14,10,0.74097437
5,6,0.15,10,0.74089676
3,8,0.1,10,0.7408735
2,5,0.07,8,0.7408715
9,7,0.06,10,0.7407639
2,5,0.12,10,0.7406776
3,7,0.04,10,0.7406247
8,8,0.05,10,0.7403905
10,3,0.13,10,0.7403612
7,6,0.15,10,0.7401814
3,7,0.14,10,0.7400912
4,6,0.14,10,0.7400887
5,3,0.02,10,0.7399827
2,9,0.04,9,0.7399023
2,8,0.12,9,0.73985684
5,4,0.08,10,0.7397949
10,6,0.09,10,0.73968184
2,4,0.06,10,0.73953027
8,3,0.07,10,0.739485
10,6,0.05,10,0.7394287
9,7,0.12,10,0.73942775
5,7,0.07,10,0.73933935
7,4,0.12,10,0.7392634
10,7,0.13,10,0.73918504
5,6,0.04,9,0.73916394
7,6,0.08,10,0.7390269
2,7,0.06,10,0.7389897
3,6,0.11,8,0.7389685
9,7,0.07,10,0.73894
2,9,0.15,9,0.7389381
3,3,0.05,10,0.7388773
2,6,0.03,8,0.73881936
7,4,0.11,10,0.7387799
7,5,0.12,9,0.73877704
7,8,0.06,10,0.7386132
8,3,0.12,10,0.7385204
3,8,0.08,10,0.73841685
10,8,0.15,10,0.7383224
3,5,0.02,9,0.73824954
6,6,0.15,10,0.73812604
2,7,0.15,10,0.73803014
3,5,0.1,9,0.7378929
8,5,0.05,10,0.73786914
8,6,0.11,10,0.7378447
8,7,0.03,9,0.737835
10,4,0.08,9,0.73773503
7,9,0.09,10,0.7377293
8,6,0.05,10,0.73769486
2,9,0.1,10,0.7376842
2,9,0.09,9,0.737584
4,3,0.02,10,0.73756444
6,7,0.05,10,0.73752964
9,5,0.05,10,0.73752624
10,5,0.12,10,0.73752093
9,8,0.11,10,0.7374294
7,4,0.07,10,0.73732364
2,8,0.1,9,0.7372875
4,6,0.13,10,0.7372499
4,9,0.07,10,0.7372476
5,5,0.12,10,0.7372218
7,8,0.07,10,0.73689675
5,5,0.14,10,0.7367871
4,4,0.03,9,0.73672944
2,9,0.03,10,0.73662823
9,4,0.12,10,0.73651224
10,4,0.07,10,0.73647547
8,6,0.07,9,0.73645747
5,4,0.05,10,0.7364032
10,8,0.09,10,0.7363775
3,3,0.15,10,0.7363562
6,6,0.07,10,0.73633933
6,7,0.15,10,0.73629117
9,9,0.08,10,0.7362319
10,4,0.05,10,0.7362142
10,4,0.14,10,0.7362078
3,4,0.13,10,0.73619
4,8,0.02,9,0.7361438
2,8,0.08,7,0.7359247
10,5,0.15,10,0.7358933
2,5,0.15,9,0.7358411
6,3,0.05,10,0.735832
2,8,0.15,9,0.73578316
4,4,0.09,10,0.73577213
5,5,0.11,10,0.7357547
7,9,0.09,9,0.7357166
8,4,0.08,10,0.73560154
4,4,0.06,10,0.73554426
8,8,0.15,10,0.73552406
