tsne_dimension,perplexity,k,silhouette_score
3,3.75,6,0.24745414
3,5.0,8,0.24710594
3,6.25,7,0.24696344
3,8.25,5,0.24608646
3,4.0,8,0.2460693
3,1.75,5,0.24541177
3,10.25,6,0.244906
3,7.0,5,0.24489458
3,7.5,5,0.24474835
3,4.0,6,0.24404547
3,2.25,8,0.24340653
3,5.5,6,0.24310315
3,7.0,6,0.243008
3,6.75,7,0.24236543
3,6.0,10,0.24188294
3,8.75,7,0.24108024
3,10.25,5,0.24104309
3,5.0,6,0.24089432
3,5.75,5,0.24077219
3,1.75,9,0.24037044
3,5.5,8,0.23973519
3,6.5,7,0.2388781
3,7.5,6,0.23874228
3,4.5,6,0.238437
3,9.75,7,0.23843674
3,9.75,5,0.23787302
3,4.25,8,0.23778312
3,5.0,7,0.23711893
3,8.25,6,0.23704185
3,7.0,7,0.23624724
3,6.25,5,0.2359895
3,5.25,8,0.23566495
3,4.0,9,0.23554939
3,4.25,6,0.23550844
3,3.5,5,0.23538809
3,3.75,8,0.23465768
3,7.5,8,0.23360336
3,0.75,7,0.23264351
3,9.75,6,0.23249476
3,6.25,6,0.23242061
3,9.0,5,0.23241115
3,7.5,7,0.23228431
3,4.5,8,0.23226808
3,9.25,6,0.23134036
3,4.25,7,0.2313133
3,8.5,5,0.23129576
3,7.5,10,0.23100862
3,7.25,6,0.23091942
3,4.0,10,0.23040941
3,8.75,5,0.22984841
3,9.0,7,0.22972614
3,10.0,5,0.22963595
3,8.75,10,0.22954123
3,6.5,6,0.22942059
3,5.75,8,0.22912565
3,10.25,7,0.2288992
3,5.5,9,0.22884
3,8.5,7,0.22832896
3,9.75,10,0.22722009
3,9.5,9,0.22698429
3,4.5,9,0.22691199
3,8.0,6,0.22655179
3,8.25,7,0.22637744
3,9.25,10,0.22634658
3,5.25,10,0.22633033
3,9.75,9,0.22552834
3,0.75,5,0.22516434
3,5.25,9,0.22491415
3,10.0,6,0.2248456
3,8.0,8,0.224732
3,6.75,8,0.22419152
3,3.75,10,0.22392043
3,8.75,6,0.22388792
3,6.25,9,0.22326371
3,8.0,7,0.2231257
3,9.5,7,0.22305205
3,0.5,5,0.22192383
3,9.0,6,0.22188225
3,3.75,7,0.221477
3,5.0,9,0.22115341
3,3.75,9,0.2195282
3,8.25,10,0.21927342
3,0.5,10,0.21923202
3,7.75,5,0.21898709
3,7.25,5,0.21881457
3,1.5,5,0.21868236
3,9.25,7,0.21866252
3,4.0,7,0.21842356
3,6.75,6,0.21838252
3,7.0,9,0.21826608
3,7.25,8,0.21789293
3,6.5,9,0.21765658
3,9.5,5,0.21750872
3,5.0,10,0.21728604
3,4.5,5,0.21687606
3,0.5,7,0.21670744
3,9.5,8,0.21669619
3,7.25,9,0.21660645
3,7.75,8,0.21592559
3,5.75,10,0.21589844
3,9.5,10,0.21572286
3,0.75,6,0.21567087
3,9.5,6,0.21515976
3,5.75,6,0.21488695
3,0.5,9,0.21457851
3,5.5,7,0.21455033
3,5.75,9,0.21438472
3,6.25,10,0.21397227
